Survey,Year,Cruise Join ID,Haul Join ID,Catch Join ID,Cruise Number,Vessel Number,Haul Number,Starting Latitude (dd),Starting Longitude (dd),Ending Latitude (dd),Ending Longitude (dd),Stratum,Stratum INPFC Area,Stratum Min Depth (m),Stratum Max Depth (m),Stratum Description,Stratum Regulatory Area Name,Stratum Type,Domain,Density,Gear Performance,Satisfactory Gear Performance,Gear Performance Note,Gear Depth,Bottom Depth,Species Code,Common Name,Scientific Name,Weight (kg),Number of Fish,Subsample Code,Voucher Taken,akfin_load_date
EBS_SHELF,2011,-663,-7504,-202739,201101,89,13,56.31488,-161.63003,56.34092,-161.62837,10,,,,,,,,,0,Y,Good performance,62,65,21720,Pacific cod,Gadus macrocephalus,67.58,35,,,10-Oct-18
EBS_SHELF,2011,-663,-7505,-202749,201101,89,14,56.66402,-161.57875,56.68882,-161.5727,31,,,,,,,,,0,Y,Good performance,87,90,21720,Pacific cod,Gadus macrocephalus,43.64,46,,,10-Oct-18
EBS_SHELF,2011,-663,-7511,-202951,201101,89,20,58.31845,-162.04305,58.32395,-162.06583,10,,,,,,,,,0,Y,Good performance,44,47,21720,Pacific cod,Gadus macrocephalus,142.56,61,,,10-Oct-18
EBS_SHELF,2011,-663,-7527,-203526,201101,89,36,57.32132,-164.00313,57.3471,-164.0087,31,,,,,,,,,0,Y,Good performance,60,62,21720,Pacific cod,Gadus macrocephalus,74.91,64,,,10-Oct-18
EBS_SHELF,2011,-663,-7534,-203783,201101,89,43,58.98438,-164.01475,59.00997,-164.01645,10,,,,,,,,,0,Y,Good performance,26,29,21720,Pacific cod,Gadus macrocephalus,12.42,36,,,10-Oct-18
EBS_SHELF,2011,-663,-7539,-203905,201101,89,48,58.34583,-165.29543,58.32057,-165.3088,10,,,,,,,,,0,Y,Good performance,42,45,21720,Pacific cod,Gadus macrocephalus,11.322,21,,,10-Oct-18
EBS_SHELF,2013,-682,-9889,-277463,201301,89,28,56.01615,-163.3619,56.00041,-163.39949,31,,,,,,,,,0,Y,Good performance,86,89,21720,Pacific cod,Gadus macrocephalus,69.4,118,,,10-Oct-18
EBS_SHELF,2013,-682,-9987,-277979,201301,89,46,58.33729,-165.28984,58.31123,-165.29391,10,,,,,,,,,0,Y,Good performance,42,45,21720,Pacific cod,Gadus macrocephalus,31.5,78,,,10-Oct-18
EBS_SHELF,2013,-682,-9989,-278066,201301,89,48,57.67797,-165.24953,57.65246,-165.24995,31,,,,,,,,,0,Y,Good performance,58,61,21720,Pacific cod,Gadus macrocephalus,28.8,22,,,10-Oct-18
EBS_SHELF,2006,-618,-11454,-319605,200601,134,202,59.68999,-175.87219,59.66401,-175.866,61,,,,,,,,,0,Y,Good performance,134,136,21720,Pacific cod,Gadus macrocephalus,190.55,40,,,10-Oct-18
EBS_SHELF,2006,-618,-11461,-319894,200601,134,209,61.66033,-175.77879,61.68752,-175.7829,82,,,,,,,,,0,Y,Good performance,93,95,21720,Pacific cod,Gadus macrocephalus,0.144,3,,,10-Oct-18
EBS_SHELF,2006,-618,-11487,-320879,200601,134,235,58.67651,-174.28101,58.65152,-174.26019,61,,,,,,,,,0,Y,Good performance,155,157,21720,Pacific cod,Gadus macrocephalus,11.75,6,,,10-Oct-18
EBS_SHELF,2007,-626,-2808,-56803,200701,89,12,57.32548,-159.0843,57.34889,-159.0705,10,,,,,,,,,0,Y,Good performance,44,46,21720,Pacific cod,Gadus macrocephalus,0.749,25,,,10-Oct-18
EBS_SHELF,2008,-631,-4371,-101640,200801,89,204,59.33888,-175.1212,59.33805,-175.0708,61,,,,,,,,,0,Y,Good performance,130,132,21720,Pacific cod,Gadus macrocephalus,8.31,1,,,10-Oct-18
EBS_SHELF,2008,-631,-4376,-101838,200801,89,209,58.99963,-177.57491,58.99884,-177.62489,61,,,,,,,,,0,Y,Good performance,132,134,21720,Pacific cod,Gadus macrocephalus,3.4,2,,,10-Oct-18
EBS_SHELF,2009,-634,-4952,-117071,200901,89,2,57.02502,-159.1261,57.05203,-159.1266,10,,,,,,,,,0,Y,Good performance,33,35,21720,Pacific cod,Gadus macrocephalus,66.96,42,,,10-Oct-18
EBS_SHELF,2009,-634,-4955,-117152,200901,89,5,57.97782,-159.00011,58.00289,-158.99139,10,,,,,,,,,0,Y,Good performance,37,39,21720,Pacific cod,Gadus macrocephalus,0.13,10,,,10-Oct-18
EBS_SHELF,2009,-634,-4964,-117455,200901,89,15,56.98444,-161.5764,57.01052,-161.58459,31,,,,,,,,,0,Y,Good performance,66,68,21720,Pacific cod,Gadus macrocephalus,2.58,10,,,10-Oct-18
EBS_SHELF,2009,-634,-4980,-117936,200901,89,31,55.32846,-164.5703,55.35466,-164.5641,31,,,,,,,,,0,Y,Good performance,99,100,21720,Pacific cod,Gadus macrocephalus,56.26,43,,,10-Oct-18
EBS_SHELF,2009,-634,-4984,-118091,200901,89,35,57.00035,-164.0303,57.02635,-164.0276,31,,,,,,,,,0,Y,Good performance,66,69,21720,Pacific cod,Gadus macrocephalus,19.14,31,,,10-Oct-18
EBS_SHELF,2011,-663,-7555,-204609,201101,89,64,59.64605,-166.6474,59.6707,-166.67388,20,,,,,,,,,0,Y,Good performance,25,28,21720,Pacific cod,Gadus macrocephalus,89.4,28,,,10-Oct-18
EBS_SHELF,2011,-663,-7557,-204683,201101,89,66,59.3333,-167.92167,59.30753,-167.92108,20,,,,,,,,,0,Y,Good performance,37,40,21720,Pacific cod,Gadus macrocephalus,5.34,2,,,10-Oct-18
EBS_SHELF,2011,-663,-7914,-211135,201101,89,77,55.31415,-165.16512,55.34333,-165.16463,50,,,,,,,,,0,Y,Good performance,109,111,21720,Pacific cod,Gadus macrocephalus,3.54,2,,,10-Oct-18
EBS_SHELF,2011,-663,-7915,-211164,201101,89,78,55.65825,-165.16933,55.68412,-165.15932,31,,,,,,,,,0,Y,Good performance,107,109,21720,Pacific cod,Gadus macrocephalus,20.28,9,,,10-Oct-18
EBS_SHELF,2011,-663,-7939,-211917,201101,89,102,57.32527,-170.85832,57.35132,-170.84773,42,,,,,,,,,0,Y,Good performance,81,83,21720,Pacific cod,Gadus macrocephalus,22.86,13,,,10-Oct-18
EBS_SHELF,2005,-611,-13481,-369641,200501,89,1,57.32582,-159.0643,57.351,-159.0567,10,,,,,,,,,0,Y,Good performance,47,50,21720,Pacific cod,Gadus macrocephalus,75.3,88,,,10-Oct-18
EBS_SHELF,2005,-611,-13482,-369671,200501,89,2,57.6622,-159.0087,57.68575,-159.0266,10,,,,,,,,,0,Y,Good performance,47,50,21720,Pacific cod,Gadus macrocephalus,36.38,62,,,10-Oct-18
EBS_SHELF,2005,-611,-13496,-370160,200501,89,16,57.98267,-161.4946,58.00875,-161.4873,10,,,,,,,,,0,Y,Good performance,54,57,21720,Pacific cod,Gadus macrocephalus,10.64,55,,,10-Oct-18
EBS_SHELF,2005,-611,-13500,-370262,200501,89,20,58.01261,-162.76379,57.99548,-162.8004,10,,,,,,,,,0,Y,Good performance,39,42,21720,Pacific cod,Gadus macrocephalus,0.902,4,,,10-Oct-18
EBS_SHELF,2005,-611,-13528,-371168,200501,89,48,58.34754,-165.29559,58.32173,-165.304,10,,,,,,,,,0,Y,Good performance,43,46,21720,Pacific cod,Gadus macrocephalus,14.67,23,,,10-Oct-18
EBS_SHELF,2005,-611,-13529,-371188,200501,89,49,58.00913,-165.2366,57.99408,-165.2751,10,,,,,,,,,0,Y,Good performance,49,52,21720,Pacific cod,Gadus macrocephalus,175.9,1413,,,10-Oct-18
EBS_SHELF,2007,-626,-2822,-57266,200701,89,26,57.98182,-161.49809,58.00729,-161.5002,10,,,,,,,,,0,Y,Good performance,53,55,21720,Pacific cod,Gadus macrocephalus,29.026,554,,,10-Oct-18
EBS_SHELF,2007,-626,-2831,-57542,200701,89,35,55.66912,-163.3828,55.66988,-163.4285,31,,,,,,,,,0,Y,Good performance,79,81,21720,Pacific cod,Gadus macrocephalus,5.75,6,,,10-Oct-18
EBS_SHELF,2007,-626,-2833,-57602,200701,89,37,55.3307,-164.032,55.35006,-164.0011,31,,,,,,,,,0,Y,Good performance,74,76,21720,Pacific cod,Gadus macrocephalus,33.33,56,,,10-Oct-18
EBS_SHELF,2007,-626,-2836,-57700,200701,89,40,56.3319,-163.9767,56.3566,-163.97771,31,,,,,,,,,0,Y,Good performance,82,84,21720,Pacific cod,Gadus macrocephalus,12.82,13,,,10-Oct-18
EBS_SHELF,2007,-626,-2852,-58159,200701,89,56,57.34979,-165.2319,57.32494,-165.2249,31,,,,,,,,,0,Y,Good performance,63,65,21720,Pacific cod,Gadus macrocephalus,28.36,26,,,10-Oct-18
EBS_SHELF,2009,-634,-4989,-118307,200901,89,40,58.67727,-163.9684,58.66249,-164.00951,10,,,,,,,,,0,Y,Good performance,31,34,21720,Pacific cod,Gadus macrocephalus,0.468,26,,,10-Oct-18
EBS_SHELF,2009,-634,-5007,-118947,200901,89,58,56.33547,-166.3757,56.34055,-166.4225,31,,,,,,,,,0,Y,Good performance,101,103,21720,Pacific cod,Gadus macrocephalus,31.38,14,,,10-Oct-18
EBS_SHELF,2009,-634,-5008,-118996,200901,89,59,56.65361,-166.44479,56.67984,-166.4491,31,,,,,,,,,0,Y,Good performance,82,84,21720,Pacific cod,Gadus macrocephalus,98.6,162,,,10-Oct-18
EBS_SHELF,2009,-634,-5013,-119218,200901,89,64,58.98611,-166.57401,59.01193,-166.58189,20,,,,,,,,,0,Y,Good performance,32,35,21720,Pacific cod,Gadus macrocephalus,9.58,60,,,10-Oct-18
EBS_SHELF,2009,-634,-5196,-121382,200901,89,78,56.33301,-167.65939,56.36203,-167.66451,50,,,,,,,,,0,Y,Good performance,126,128,21720,Pacific cod,Gadus macrocephalus,19.38,6,,,10-Oct-18
EBS_SHELF,2009,-634,-5198,-121438,200901,89,80,56.99063,-167.6994,57.01767,-167.6994,31,,,,,,,,,0,Y,Good performance,75,77,21720,Pacific cod,Gadus macrocephalus,28.2,44,,,10-Oct-18
EBS_SHELF,2011,-663,-7959,-212692,201101,89,122,58.34298,-170.37235,58.32098,-170.39755,41,,,,,,,,,0,Y,Good performance,72,74,21720,Pacific cod,Gadus macrocephalus,1.44,18,,,10-Oct-18
EBS_SHELF,2011,-663,-7977,-213435,201101,89,140,60.13817,-173.76675,60.11315,-173.77057,43,,,,,,,,,0,Y,Good performance,86,88,21720,Pacific cod,Gadus macrocephalus,65.48,82,,,10-Oct-18
EBS_SHELF,2005,-611,-13531,-371285,200501,89,51,57.34646,-165.2308,57.32043,-165.2305,31,,,,,,,,,0,Y,Good performance,65,68,21720,Pacific cod,Gadus macrocephalus,21.62,11,,,10-Oct-18
