"Category","Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
"Opilio immature",1982,1,1,124608358.303894,0.189146909829639,17662645.0677414
"Opilio immature",1983,1,1,93162640.1180259,0.31728375910691,21531607.3428321
"Opilio immature",1984,1,1,221846458.530528,0.528473345582532,77676903.6481359
"Opilio immature",1985,1,1,57903382.0016368,0.245179595578006,10904143.1259333
"Opilio immature",1986,1,1,239950101.174299,0.305498901633577,53056229.4731204
"Opilio immature",1987,1,1,844794863.273058,0.199471672446665,133286102.6118
"Opilio immature",1988,1,1,477057202.813742,0.174920394976913,66743928.8630135
"Opilio immature",1989,1,1,261422413.414753,0.152371068244963,31842680.5120606
"Opilio immature",1990,1,1,224588933.247097,0.16904013790451,31073379.6720082
"Opilio immature",1991,1,1,474679903.88998,0.161995850169122,62535357.5387412
"Opilio immature",1992,1,1,449358146.332646,0.167485023431497,58878721.5813271
"Opilio immature",1993,1,1,826871188.007051,0.179803992938404,116212364.949607
"Opilio immature",1994,1,1,668306807.42373,0.176678281083231,93444518.648356
"Opilio immature",1995,1,1,449967396.173533,0.171119950181983,61240572.0348261
"Opilio immature",1996,1,1,139594203.955916,0.214711677237528,23936864.1731003
"Opilio immature",1997,1,1,51620737.7769349,0.286745381818847,12258541.1580265
"Opilio immature",1998,1,1,95219963.0907184,0.259603984443635,20067244.7475035
"Opilio immature",1999,1,1,52913424.3104925,0.210438971909542,8860996.81375506
"Opilio immature",2000,1,1,152195171.019266,0.191150883646737,23070324.3638044
"Opilio immature",2001,1,1,162133509.989695,0.199445924644339,25691568.1935874
"Opilio immature",2002,1,1,40314375.9176625,0.233715918848587,7660301.25105379
"Opilio immature",2003,1,1,161271333.389408,0.258867916624834,33794929.9185573
"Opilio immature",2004,1,1,216352808.058299,0.183313970722865,32576408.1689876
"Opilio immature",2005,1,1,284662194.353164,0.130697758651653,30674345.6636085
"Opilio immature",2006,1,1,124035317.159354,0.141813314769841,14475305.27553
"Opilio immature",2007,1,1,184801728.577526,0.16384102643089,24605199.0666041
"Opilio immature",2008,1,1,67960114.9409811,0.162049752792667,8895865.39292613
"Opilio immature",2009,1,1,173508035.392405,0.210618457526695,29714227.7328107
"Opilio immature",2010,1,1,681384972.642547,0.180604086307676,97198059.1176419
"Opilio immature",2011,1,1,312443830.919722,0.168883066166079,41747025.6843959
"Opilio immature",2012,1,1,219334935.548688,0.178651669558238,31648053.8132489
"Opilio immature",2013,1,1,181919972.79717,0.142161410777037,21041738.4147666
"Opilio immature",2014,1,1,236969589.506299,0.158384629942983,30774900.5432947
"Opilio immature",2015,1,1,223574207.771154,0.180507165571432,32539273.8672199
"Opilio immature",2016,1,1,353195620.109788,0.221016208856408,64661087.1644589
"Opilio immature",2017,1,1,649775669.262533,0.186860532102473,98019054.5747745
"Opilio spawner",1982,1,1,574388831.580477,0.183340653977183,81304663.5774117
"Opilio spawner",1983,1,1,404698926.382625,0.205986864435863,63149863.0071256
"Opilio spawner",1984,1,1,189435718.448713,0.20267268867107,28410161.2342371
"Opilio spawner",1985,1,1,34293383.8447673,0.228428673530708,5715290.14006787
"Opilio spawner",1986,1,1,90913209.2219207,0.265408901085902,16653014.3262407
"Opilio spawner",1987,1,1,528114453.804006,0.150802710166853,61487127.9496146
"Opilio spawner",1988,1,1,602824260.022626,0.12371257183094,58739667.1948874
"Opilio spawner",1989,1,1,971992703.788583,0.189522805297268,145884607.245342
"Opilio spawner",1990,1,1,904758366.873782,0.269219908365353,188717922.231687
"Opilio spawner",1991,1,1,802124522.93605,0.186791510092698,119055886.950973
"Opilio spawner",1992,1,1,491384468.117552,0.166492516533366,63806965.4219555
"Opilio spawner",1993,1,1,505769011.035121,0.143050971327579,56391264.047453
"Opilio spawner",1994,1,1,520166564.373257,0.12156591429768,49446974.735317
"Opilio spawner",1995,1,1,778560756.533975,0.159713805975669,96393732.5329779
"Opilio spawner",1996,1,1,525619960.143452,0.185675071773885,75567484.0924837
"Opilio spawner",1997,1,1,396109846.52576,0.193652812760906,60870696.105829
"Opilio spawner",1998,1,1,229736226.559942,0.18696632004489,34223617.1170976
"Opilio spawner",1999,1,1,106231556.536811,0.167822292255986,14108799.9756257
"Opilio spawner",2000,1,1,223094031.734026,0.203342858809895,35587287.0990432
"Opilio spawner",2001,1,1,241327951.132297,0.168191624684915,32207419.0666198
"Opilio spawner",2002,1,1,84322786.5551021,0.189224747060725,12763708.8225299
"Opilio spawner",2003,1,1,106888922.71054,0.240869690692548,20777688.8738438
"Opilio spawner",2004,1,1,165832946.183829,0.1635035448268,21387935.2528381
"Opilio spawner",2005,1,1,230400467.28511,0.179023072008449,32179878.4427689
"Opilio spawner",2006,1,1,202572601.838373,0.170024750948275,26770518.8790473
"Opilio spawner",2007,1,1,194779008.281233,0.177306839697925,27230653.6320691
"Opilio spawner",2008,1,1,193187903.401282,0.155217719140198,23437383.3162157
"Opilio spawner",2009,1,1,228396055.661874,0.241182834321145,42910655.5354088
"Opilio spawner",2010,1,1,383360972.507119,0.154747670262706,46025479.703581
"Opilio spawner",2011,1,1,839600717.732167,0.204095244839443,132642594.22959
"Opilio spawner",2012,1,1,556592772.088055,0.186129764746093,82276630.9530287
"Opilio spawner",2013,1,1,468640675.388911,0.160165123037674,59992028.8802083
"Opilio spawner",2014,1,1,383557345.456345,0.162407201071938,49678532.2954826
"Opilio spawner",2015,1,1,290398193.877107,0.168492154905718,38381858.8107133
"Opilio spawner",2016,1,1,179807845.963699,0.18772087474724,26290625.9347523
"Opilio spawner",2017,1,1,369509837.988738,0.166656282518966,48621969.6046441
"Pacific cod",1982,1,1,4996483.44539801,0.0610696707840197,272753.617553659
"Pacific cod",1983,1,1,5507981.00720337,0.0608098512504362,298146.115647234
"Pacific cod",1984,1,1,4741109.3689871,0.0617524996284718,262523.389369883
"Pacific cod",1985,1,1,5138677.24712867,0.0563836005256697,258314.845911008
"Pacific cod",1986,1,1,5217206.78933309,0.0574100182741315,267648.077147517
"Pacific cod",1987,1,1,4964724.86024445,0.0545167517143083,241739.906884289
"Pacific cod",1988,1,1,4165549.14586028,0.0586067703423629,219463.082297492
"Pacific cod",1989,1,1,3734237.35706185,0.0600659808219475,201014.0521036
"Pacific cod",1990,1,1,3007641.99261229,0.0618511089175626,167469.92059067
"Pacific cod",1991,1,1,2474060.42056938,0.0581871425431747,130223.914757568
"Pacific cod",1992,1,1,2373942.01195974,0.0612618207708013,130292.972081823
"Pacific cod",1993,1,1,3321904.36970459,0.0556500529765442,165948.370350668
"Pacific cod",1994,1,1,5533596.98177967,0.0577575143346437,288021.762022118
"Pacific cod",1995,1,1,4463602.79661047,0.0572929460833685,230482.615258441
"Pacific cod",1996,1,1,4244436.24290644,0.0558549159870372,214242.21817634
"Pacific cod",1997,1,1,2882790.08086433,0.0544106350548181,140874.707448624
"Pacific cod",1998,1,1,2779481.45503904,0.0539500165397399,135223.726277376
"Pacific cod",1999,1,1,2681879.5225174,0.0645267859922649,156826.690639167
"Pacific cod",2000,1,1,2410840.38173368,0.0549343158018303,119287.425394282
"Pacific cod",2001,1,1,3774002.66705994,0.0538918525149597,183351.57305213
"Pacific cod",2002,1,1,2799453.26274054,0.0550195452118096,139126.935811576
"Pacific cod",2003,1,1,3042957.1075442,0.0561504626421021,153330.430600947
"Pacific cod",2004,1,1,2910445.53891079,0.0547108007581241,144058.133441641
"Pacific cod",2005,1,1,3093207.29133214,0.056222038309212,156159.157556507
"Pacific cod",2006,1,1,2751324.70165296,0.0622810452406451,154305.477531934
"Pacific cod",2007,1,1,2147907.5555952,0.0610841866775218,118208.294886694
"Pacific cod",2008,1,1,1990390.32650501,0.0589458027394396,106375.951412889
"Pacific cod",2009,1,1,2066004.12627987,0.0588678919352061,109821.778191569
"Pacific cod",2010,1,1,3493165.29564783,0.0580406883784292,185271.624053322
"Pacific cod",2011,1,1,4054720.90954326,0.0548697518538894,200697.696783386
"Pacific cod",2012,1,1,3516253.05260101,0.0591997293054036,189345.663231061
"Pacific cod",2013,1,1,3838927.01937839,0.0557492070496138,192563.775956564
"Pacific cod",2014,1,1,4926319.50574791,0.0579811100366397,256875.943213955
"Pacific cod",2015,1,1,4958962.05640632,0.0607293305548107,271201.116370967
"Pacific cod",2016,1,1,4748586.20981014,0.0554418462004172,236499.256615942
"Pacific cod",2017,1,1,3203891.3628058,0.0546090128658015,156966.795534837
