"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1982,1,1,4884134.8156483,0.0888413917541455,400547.637599062
1983,1,1,5593529.13035253,0.0772572224324784,398168.867987325
1984,1,1,4963808.28772622,0.0804807909736431,370914.491451513
1985,1,1,5622019.44396317,0.073997847636462,385350.338011991
1986,1,1,5788524.21859917,0.0735577159576499,394431.576505799
1987,1,1,5238777.30404024,0.0698955192658165,339284.543203533
1988,1,1,4278858.94119596,0.0750118601467679,298933.45375653
1989,1,1,4021369.14695472,0.0762831802318391,285779.464845039
1990,1,1,3340872.32286167,0.0853901367271188,265869.507499287
1991,1,1,2145516.69482604,0.0782876137078571,157053.689112823
1992,1,1,2380988.08328435,0.0773389091794547,171068.729328683
1993,1,1,2987223.84482133,0.0693492538956505,192737.870878519
1994,1,1,5337520.90428125,0.0721662630030819,358251.139268905
1995,1,1,4275453.65701131,0.075950074602067,302632.251633601
1996,1,1,4224532.88437074,0.0700801952794488,276554.261176012
1997,1,1,2761489.92885063,0.072560971699825,186200.002954529
1998,1,1,2577883.91296222,0.0680506927104961,163683.703448106
1999,1,1,2207836.26095537,0.0835996412687724,172847.916685297
2000,1,1,2295777.09160872,0.0691013775505339,148155.385874723
2001,1,1,3558460.63500318,0.0683480881307824,227010.440667421
2002,1,1,2570245.477738,0.0687492902679484,165025.070498024
2003,1,1,3038665.19004689,0.0690335680660884,195016.511682403
2004,1,1,2773469.0037501,0.070079536091516,181751.168858819
2005,1,1,3149467.78341922,0.0721780985791145,211734.223100126
2006,1,1,2653761.68010606,0.0815875676593051,201816.689480659
2007,1,1,2083829.78379145,0.0811539464331929,157585.930932533
2008,1,1,1886334.59201786,0.0757950534773169,134332.471653965
2009,1,1,1640438.22022963,0.0750303592088361,114854.43357361
2010,1,1,2812500.91170842,0.0782965545819971,206990.385223262
2011,1,1,3756166.54028604,0.0691484371048321,243522.711542473
2012,1,1,3086066.14664744,0.0721956279923017,209593.635945835
2013,1,1,3683254.07654803,0.0715817845007714,245520.462384882
2014,1,1,4757633.88036881,0.0696519574999172,308836.79407508
2015,1,1,5030075.95552857,0.0764653017089928,359223.368604916
2016,1,1,5033497.82516617,0.0688856716973488,322977.509021498
2017,1,1,3177814.23008547,0.067326615856794,199053.09981197
