"Category","Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
"Opilio immature",1982,1,1,3917057.45131957,0.170213114550448,617357.019006249
"Opilio immature",1983,1,1,3864308.28310144,0.306406169983618,1036626.63823305
"Opilio immature",1984,1,1,7778007.58730748,0.433109246733951,2873317.04625969
"Opilio immature",1985,1,1,3199970.89480207,0.412447410619239,1132474.28238541
"Opilio immature",1986,1,1,6960369.53509412,0.427955575183328,2547066.3638289
"Opilio immature",1987,1,1,12884404.2058701,0.222978776585248,2660829.61423552
"Opilio immature",1988,1,1,13421018.1384184,0.214898401217752,2703082.28468698
"Opilio immature",1989,1,1,8056130.55320911,0.180892551672895,1366818.87961269
"Opilio immature",1990,1,1,6598232.86290914,0.18288227767289,1133077.00225841
"Opilio immature",1991,1,1,11467220.800587,0.177175625462687,1905177.02401818
"Opilio immature",1992,1,1,11330427.0315312,0.202713604961966,2145805.12987556
"Opilio immature",1993,1,1,18113206.093814,0.211440284979483,3593063.65149631
"Opilio immature",1994,1,1,16887458.034605,0.228236819628404,3616389.10534827
"Opilio immature",1995,1,1,14889320.7213828,0.199475121358998,2787874.84360789
"Opilio immature",1996,1,1,5874665.49270014,0.175952715155047,970613.145865553
"Opilio immature",1997,1,1,3634271.09013906,0.193343155867846,660082.501125662
"Opilio immature",1998,1,1,2589746.23249501,0.200552830433182,487278.604288791
"Opilio immature",1999,1,1,2089439.36427479,0.206181294093181,403865.136570634
"Opilio immature",2000,1,1,3880207.32020805,0.219195927754904,797537.33601219
"Opilio immature",2001,1,1,4721538.90675248,0.217305096467476,962217.283709924
"Opilio immature",2002,1,1,1256875.02612003,0.234881888587518,276524.82673882
"Opilio immature",2003,1,1,2927358.76592525,0.285837168233243,785093.554468257
"Opilio immature",2004,1,1,4541288.16538674,0.261134237728161,1112134.5170948
"Opilio immature",2005,1,1,4166010.27629065,0.222800931101841,872311.939890597
"Opilio immature",2006,1,1,2431948.5094726,0.17667847990163,404310.629054876
"Opilio immature",2007,1,1,3293752.47606191,0.170714554879133,528722.097023794
"Opilio immature",2008,1,1,3067764.98748588,0.162744723042532,469338.390922332
"Opilio immature",2009,1,1,6243965.58259109,0.213801253121875,1252880.68685044
"Opilio immature",2010,1,1,19016314.150567,0.23393954474178,4164766.55153114
"Opilio immature",2011,1,1,8995194.77979621,0.214978723733465,1809769.52019002
"Opilio immature",2012,1,1,7506375.82263832,0.213337917269818,1502113.36669471
"Opilio immature",2013,1,1,5444680.31688538,0.176164663204661,901163.009721219
"Opilio immature",2014,1,1,2948940.40785284,0.144559669219285,401150.988767772
"Opilio immature",2015,1,1,2410133.72034563,0.183906299409972,415722.830028722
"Opilio immature",2016,1,1,5532917.25278746,0.289800218683747,1501598.34689798
"Opilio immature",2017,1,1,11056203.8863115,0.25308081930264,2623123.00502767
"Opilio spawner",1982,1,1,8449252.3758579,0.198676017513033,1508648.87614398
"Opilio spawner",1983,1,1,4047840.42953393,0.250193322798652,878279.188480259
"Opilio spawner",1984,1,1,3563115.42770184,0.314488111095253,952713.826110136
"Opilio spawner",1985,1,1,1066131.9024101,0.410964296775259,366025.003780738
"Opilio spawner",1986,1,1,2802297.88443586,0.417732357690669,977401.356219305
"Opilio spawner",1987,1,1,9344068.38255763,0.231340844493454,1940153.39396832
"Opilio spawner",1988,1,1,11013105.7370859,0.222610005885336,2221096.66097526
"Opilio spawner",1989,1,1,10260177.5530347,0.191721592041644,1781951.85327526
"Opilio spawner",1990,1,1,9786869.48688871,0.195619154826478,1732491.00047818
"Opilio spawner",1991,1,1,9178468.96449388,0.206690129036718,1721079.98531467
"Opilio spawner",1992,1,1,8544241.71649666,0.213176494063366,1650627.02238265
"Opilio spawner",1993,1,1,10240605.245338,0.240314124202428,2231608.19868735
