"Category","Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
"Opilio immature",1982,1,1,4476163.43638882,0.148971476776704,607501.336261361
"Opilio immature",1983,1,1,3898657.03459067,0.238056018448695,813996.049921712
"Opilio immature",1984,1,1,8949690.99860611,0.393075710308908,2998701.83592477
"Opilio immature",1985,1,1,2880778.21051619,0.318805728608645,797264.060435155
"Opilio immature",1986,1,1,7054785.30409385,0.373888667987627,2268161.00534662
"Opilio immature",1987,1,1,17582954.7427726,0.196923054531691,3179647.16157776
"Opilio immature",1988,1,1,12011916.6532037,0.17118342041329,1905005.40454911
"Opilio immature",1989,1,1,9527015.22815362,0.140041462560914,1235589.22571359
"Opilio immature",1990,1,1,6885693.50315941,0.161675922955568,1032552.13283165
"Opilio immature",1991,1,1,11125730.6116376,0.150379452575726,1548322.12121985
"Opilio immature",1992,1,1,9903044.13717934,0.173790915674178,1588117.65273073
"Opilio immature",1993,1,1,18889518.5552832,0.173746232414978,3049713.72547407
"Opilio immature",1994,1,1,14717799.2571317,0.192248139712213,2626741.00917704
"Opilio immature",1995,1,1,13191311.9998587,0.173828032572647,2125703.32722747
"Opilio immature",1996,1,1,7155798.56883502,0.147507687467821,978769.359883894
"Opilio immature",1997,1,1,3709820.78519055,0.157086427020464,541609.526735804
"Opilio immature",1998,1,1,3055679.99670085,0.182246179696942,516146.487916932
"Opilio immature",1999,1,1,1825559.02066007,0.186962129032812,316639.102784436
"Opilio immature",2000,1,1,3792957.43118531,0.188675867203837,663984.42652988
"Opilio immature",2001,1,1,5418928.27125018,0.191991891961165,963918.428297526
"Opilio immature",2002,1,1,1364511.92069122,0.199295992903609,251913.198436248
"Opilio immature",2003,1,1,3198915.90727356,0.238925115248926,710911.221568951
"Opilio immature",2004,1,1,4999477.74503953,0.210109146535908,975166.803798542
"Opilio immature",2005,1,1,6247823.7271218,0.170156340343977,985674.76843088
"Opilio immature",2006,1,1,2473638.99038016,0.156565069350882,359807.840229558
"Opilio immature",2007,1,1,2982621.75084762,0.150609066472565,417390.5971038
"Opilio immature",2008,1,1,2770269.55020548,0.147470440435011,378690.524983791
"Opilio immature",2009,1,1,5327248.94703293,0.189479240862807,938781.077323127
"Opilio immature",2010,1,1,18515762.9934907,0.199628340084979,3419165.46020412
"Opilio immature",2011,1,1,9479249.0703025,0.185602589156946,1630110.84600372
"Opilio immature",2012,1,1,6521239.04629634,0.187043213225611,1132012.84021107
"Opilio immature",2013,1,1,4538813.69823678,0.147760721231536,621825.773664464
"Opilio immature",2014,1,1,4160652.68578644,0.140931556092153,543754.182027671
"Opilio immature",2015,1,1,2899352.32785474,0.170631756550856,456926.188215459
"Opilio immature",2016,1,1,6178078.11813042,0.251448008303225,1439918.573498
"Opilio immature",2017,1,1,12784787.7519448,0.22282096696723,2636851.57780568
"Opilio spawner",1982,1,1,11369375.1638567,0.215714858889693,2149145.16477778
"Opilio spawner",1983,1,1,5423690.86364055,0.23162028572169,1078514.03500604
"Opilio spawner",1984,1,1,3853165.42727101,0.295541433000095,945201.930914563
"Opilio spawner",1985,1,1,896434.156992639,0.343080688484789,254973.232942199
"Opilio spawner",1986,1,1,2587939.69591928,0.407275818919239,859458.230815248
"Opilio spawner",1987,1,1,11683720.9082492,0.211143612366317,2171030.70338833
"Opilio spawner",1988,1,1,11227839.1050604,0.197387858914395,1970501.18179859
"Opilio spawner",1989,1,1,15908777.319343,0.181016239388836,2548649.86960428
"Opilio spawner",1990,1,1,10796348.683677,0.181470660386481,1732133.41036435
"Opilio spawner",1991,1,1,9887223.25268393,0.194499321426634,1694894.70010284
"Opilio spawner",1992,1,1,8134478.53537127,0.190680947750892,1377186.11417322
"Opilio spawner",1993,1,1,12911397.2045849,0.213695460055964,2460814.4627959
"Opilio spawner",1994,1,1,12520397.8803871,0.196680983954884,2195439.0116388
"Opilio spawner",1995,1,1,17225885.7090487,0.186031370922025,2846639.83445617
"Opilio spawner",1996,1,1,11076793.541742,0.200210535386652,1969316.01961728
"Opilio spawner",1997,1,1,5227469.0825799,0.213530727085288,991357.360748224
