"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1982,1,1,900522117.818241,0.192100437790203,145811690.236069
1983,1,1,362907003.34048,0.214890654161398,65735952.0494707
1984,1,1,278158089.79669,0.250741977265415,57550444.8022462
1985,1,1,86579408.8910968,0.325258883540541,22629801.6926234
1986,1,1,193775083.796269,0.342140684876668,52839523.3105009
1987,1,1,863852852.236564,0.198673052747843,143876367.611389
1988,1,1,895726016.186931,0.174199950227918,132467218.392205
1989,1,1,1152559964.38735,0.173981665545399,169896531.143612
1990,1,1,902044022.098393,0.170570260243327,131573350.364825
1991,1,1,755660073.998899,0.172327122605309,112072426.46853
1992,1,1,650749895.520129,0.172287992193079,95013642.243094
1993,1,1,797410493.40485,0.187786934124816,128591738.385391
1994,1,1,996521840.55152,0.175728029967886,148652090.894626
1995,1,1,1243316909.17205,0.168543284456662,178201334.185021
1996,1,1,816687418.367365,0.184544736486124,127029415.119996
1997,1,1,492700875.638134,0.201146214481511,84957676.054396
1998,1,1,235786549.890906,0.199964184865046,40357689.3978096
1999,1,1,180684919.643902,0.225123367797179,34592536.0112604
2000,1,1,287054867.04595,0.220394035633673,53587007.1513532
2001,1,1,297898721.030991,0.224836626854983,56939766.4108241
2002,1,1,103139174.101237,0.200885743618567,17837823.9638574
2003,1,1,102908400.812335,0.223922701758703,20043697.522709
2004,1,1,218750063.101775,0.225499540505727,42555578.5381638
2005,1,1,256332813.289675,0.235663818206347,52004406.1762563
2006,1,1,210196121.260301,0.188093075312928,34048774.6238985
2007,1,1,332848896.254651,0.182514333494074,52388826.8212292
2008,1,1,365564914.794482,0.186089922790507,57965096.8360358
2009,1,1,337651024.34633,0.188221272089113,54052635.0235825
2010,1,1,644698070.947101,0.207050340452481,113651269.14424
2011,1,1,1185293400.44991,0.208104173047701,208301361.93432
2012,1,1,801104963.142531,0.173651887752832,118250801.114243
2013,1,1,566437262.434558,0.162638051748222,79478387.8970764
2014,1,1,299409624.808254,0.16836155296848,43946425.4982151
2015,1,1,309376917.585808,0.193545651528416,51754133.4170104
2016,1,1,251744991.074702,0.224518867959919,48927769.9920757
2017,1,1,477350253.13592,0.212016372809519,86641948.3619032
