"Category","Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1,1982,1,1,2193392.49396146,0.184665364869588,405043.625199609
1,1983,1,1,1750073.8901439,0.397673473358188,695957.962527001
1,1984,1,1,2006135.45657219,0.508554004518243,1020228.22004582
1,1985,1,1,1227005.9438708,0.453079812586635,555931.623091668
1,1986,1,1,2495219.53943738,0.37517329121395,936139.726912079
1,1987,1,1,13056928.0763443,0.238221802210735,3110444.93768268
1,1988,1,1,13305065.8700798,0.245959606250651,3272508.76254382
1,1989,1,1,7199015.32163088,0.244758368707361,1762019.24642167
1,1990,1,1,4073570.74393307,0.219694438372317,894940.836758277
1,1991,1,1,6175418.02514184,0.200563168499892,1238561.40593379
1,1992,1,1,10543451.0216978,0.223613428704919,2357657.23334423
1,1993,1,1,23588651.1414769,0.217192437320974,5123276.63453153
1,1994,1,1,23461316.043688,0.230500479791478,5407844.60460959
1,1995,1,1,22680400.3209128,0.273074400926504,6193436.73040656
1,1996,1,1,5114857.54026259,0.278105557256449,1422470.30652208
1,1997,1,1,1331719.96353231,0.26196725822648,348867.027572028
1,1998,1,1,1337686.62444084,0.228386726237217,305509.868887357
1,1999,1,1,1500916.52577124,0.212494699148531,318936.805590818
1,2000,1,1,4498234.25779045,0.242348336661881,1090139.59029101
1,2001,1,1,3814650.66172818,0.258559649490131,986314.738023733
1,2002,1,1,959728.274095007,0.273266897001957,262261.967426986
1,2003,1,1,2173831.30184688,0.289121863717683,628502.157397807
1,2004,1,1,4691759.40576515,0.269437864750146,1264137.63621078
1,2005,1,1,3391368.38732393,0.228024159325433,773313.925482388
1,2006,1,1,2140436.29069881,0.195152781297237,417712.095319412
1,2007,1,1,3406638.38012877,0.20707994171207,705446.477191159
1,2008,1,1,2784141.00510094,0.211213312286005,588047.643558655
1,2009,1,1,5318365.3433922,0.22859257503022,1215738.82879751
1,2010,1,1,24077543.3421492,0.284517464695173,6850481.58779644
1,2011,1,1,16455466.5792742,0.259941824700648,4277464.00891705
1,2012,1,1,8118991.0975162,0.244006204896355,1981084.20529222
1,2013,1,1,4852849.57597833,0.204006553276591,990013.115565105
